Batch_ID,Start_Temp,Target_Temp,Ambient_Temp,Airflow_Rate,Humidity_Level,Material_Load,Fan_Speed,Heater_Power_Level,Control_Strategy,Preheating_Time,Energy_Consumed,Temp_Fluctuation_Index,Steady_State_Achieved
B0001,25.62,69.82,27.17,6.03,35.05,52.96,1164,71,PID,8.66,4.74,1.26,1
B0002,34.26,57.05,22.92,5.53,35.7,54.24,1365,77,PID,14.1,4.6,1.81,1
B0003,30.98,65.43,25.86,6.58,43.82,43.57,1293,81,PID,13.51,5.18,1.11,1
B0004,28.98,61.06,21.12,6.6,38.59,41.59,1398,90,FA-PID-LSSVM,6.31,3.47,0.52,1
B0005,22.34,61.42,19.91,4.03,37.42,58.81,1006,70,Fixed-Time,13.85,8.5,1.69,1
B0006,22.34,65.76,19.93,6.33,49.36,45.21,1077,92,Fixed-Time,13.52,7.73,1.27,1
B0007,20.87,65.39,18.85,5.38,49.53,57.07,1433,82,FA-PID-LSSVM,6.78,3.35,0.9,1
B0008,32.99,69.87,20.23,6.97,54.74,57.27,1064,91,FA-PID-LSSVM,6.97,3.66,0.84,1
B0009,29.02,56.93,25.97,5.45,42.53,55.45,1101,90,PID,12.19,5.76,1.26,1
B0010,30.62,56.56,28.58,6.96,32.19,43.38,1450,86,FA-PID-LSSVM,8.52,3.71,1.06,1
B0011,20.31,65.87,27.77,6.26,38.21,56.44,1356,83,Fixed-Time,15.21,5.16,2.65,1
B0012,34.55,63.68,26.22,4.75,59.4,55.39,1299,83,FA-PID-LSSVM,7.14,4.23,0.7,1
B0013,32.49,59.11,19.33,5.62,47.89,51.93,1286,85,FA-PID-LSSVM,7.19,3.36,0.72,1
B0014,23.19,56.19,21.47,6.98,51.29,46.74,1170,86,PID,10.33,6.21,0.72,1
B0015,22.73,56.28,21.72,6.57,30.22,45.25,1076,75,PID,9.0,6.16,1.64,1
B0016,22.75,68.41,21.0,4.29,45.55,42.44,1047,95,PID,9.51,6.49,1.49,1
B0017,24.56,57.88,24.18,6.12,31.13,50.2,1254,97,PID,10.1,3.42,0.7,1
B0018,27.87,59.85,24.43,5.04,47.08,51.71,1081,76,Fixed-Time,12.68,7.76,2.38,1
B0019,26.48,58.4,22.28,4.02,57.62,47.19,1382,95,FA-PID-LSSVM,5.12,2.74,0.8,1
B0020,24.37,60.32,22.25,5.21,59.05,49.51,1208,95,FA-PID-LSSVM,7.29,3.74,0.74,1
B0021,29.18,56.04,27.94,4.7,46.22,47.27,1208,70,PID,14.3,5.08,1.13,1
B0022,22.09,62.79,27.47,6.46,43.75,52.82,1444,94,Fixed-Time,12.41,7.12,2.31,1
B0023,24.38,56.01,21.69,5.01,58.35,58.03,1458,84,Fixed-Time,15.49,7.23,2.02,1
B0024,25.5,67.01,28.97,6.48,50.21,43.28,1083,89,FA-PID-LSSVM,5.22,3.77,0.64,1
